gid,admin2,admin1
1,Chadiza,Eastern
2,Chama,Muchinga
3,Chasefu,Eastern
4,Chavuma,North_Western
5,Chembe,Luapula
6,Chibombo,Central
7,Chiengi,Luapula
8,Chifunabuli,Luapula
9,Chikankanta,Southern
10,Chilanga,Lusaka
11,Chililabombwe,Copperbelt
12,Chilubi,Northern
13,Chingola,Copperbelt
14,Chinsali,Muchinga
15,Chipangali,Eastern
16,Chipata,Eastern
17,Chipili,Luapula
18,Chirundu,Lusaka
19,Chisamba,Central
20,Chitambo,Central
21,Choma,Southern
22,Chongwe,Lusaka
23,Gwembe,Southern
24,Ikelenge,North_Western
25,Isoka,Muchinga
26,Itezhi_tezhi,Central
27,Kabompo,North_Western
28,Kabwe,Central
29,Kafue,Lusaka
30,Kalabo,Western
31,Kalomo,Southern
32,Kalulushi,Copperbelt
33,Kalumbila,North_Western
34,Kanchibiya,Muchinga
35,Kaoma,Western
36,Kapiri_Mposhi,Central
37,Kaputa,Northern
38,Kasama,Northern
39,Kasempa,North_Western
40,Kasenengwa,Eastern
41,Katete,Eastern
42,Kawambwa,Luapula
43,Kazungula,Southern
44,Kitwe,Copperbelt
45,Lavushimanda,Muchinga
46,Limulunga,Western
47,Livingstone,Southern
48,Luampa,Western
49,Luangwa,Lusaka
50,Luano,Central
51,Luanshya,Copperbelt
52,Lufwanyama,Copperbelt
53,Lukulu,Western
54,Lumezi,Eastern
55,Lundazi,Eastern
56,Lunga,Luapula
57,Lunte,Northern
58,Lupososhi,Northern
59,Lusaka,Lusaka
60,Lusangazi,Eastern
61,Luwingu,Northern
62,Mafinga,Muchinga
63,Mambwe,Eastern
64,Mansa,Luapula
65,Manyinga,North_Western
66,Masaiti,Copperbelt
67,Mazabuka,Southern
68,Mbala,Northern
69,Milengi,Luapula
70,Mitete,Western
71,Mkushi,Central
72,Mongu,Western
73,Monze,Southern
74,Mpika,Muchinga
75,Mpongwe,Copperbelt
76,Mporokoso,Northern
77,Mpulungu,Northern
78,Mufulira,Copperbelt
79,Mufumbwe,North_Western
80,Mulobezi,Western
81,Mumbwa,Central
82,Mungwi,Northern
83,Mushindano,North_Western
84,Mwandi,Western
85,Mwansabombwe,Luapula
86,Mwense,Luapula
87,Mwinilunga,North_Western
88,Nakonde,Muchinga
89,Nalolo,Western
90,Namwala,Southern
91,Nchelenge,Luapula
92,Ndola,Copperbelt
93,Ngabwe,Central
94,Nkeyema,Western
95,Nsama,Northern
96,Nyimba,Eastern
97,Pemba,Southern
98,Petauke,Eastern
99,Rufunsa,Lusaka
100,Samfya,Luapula
101,Senanga,Western
102,Senga_Hill,Northern
103,Serenje,Central
104,Sesheke,Western
105,Shangombo,Western
106,Shibuyunji,Central
107,Shiwang_andu,Muchinga
108,Siavonga,Southern
109,Sikongo,Western
110,Sinazongwe,Southern
111,Sinda,Eastern
112,Sioma,Western
113,Solwezi,North_Western
114,Vubwi,Eastern
115,Zambezi,North_Western
116,Zimba,Southern