YEAR,Zambia,Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,Northern,N/Western,Southern,Western
2020,2,2.2,2.6,2.1,2.4,2,2.9,2.4,2.4,1.3,0.9
2019,1.3,1.4,2.5,1.7,2.5,0.6,2.9,2.4,2.3,0.2,0.2
2018,1.7,1.9,2.1,1.6,2.6,1.8,3,2.6,2.2,1.7,0.7
2017,2.11629596,2.107377375,2.424821824,2.246526216,2.609507438,2.171950661,3.293621683,2.785615059,1.959415143,1.734852659,0.796873635
2016,2.104835062,2.614051693,2.815476024,1.743661506,2.879757183,2.592346553,3.039427006,2.605626513,2.449695005,1.485188622,0.946524485
2015,1.751961585,1.775486633,2.296901863,1.700338178,2.605586629,2.027710758,3.166682935,2.623030279,2.575830927,1.08267431,0.503626224
2014,2.360747929,2.822711659,2.726792754,2.237752363,2.867612173,3.130064996,3.105129203,2.782320968,2.361371671,1.917190744,0.877886612
2013,1.929896371,2.206138892,2.600439858,1.924345858,2.533468194,2.21924363,2.890439884,2.616943028,2.238700302,1.373366623,0.836024745
2012,2.24,2.69,2.61,2.08,2.75,2.62,3.24,2.75,2.43,1.85,0.86
2011,2.227806349,2.644570474,2.765341749,1.884944544,2.820159938,2.19569581,,3.336690728,2.065925368,2.026073636,0.983603225
2010,2.250300458,3.022280262,2.577807678,1.895922691,2.283630737,2.802357166,,2.688102052,1.965957063,2.12625874,1.030553579
2009,1.665629458,2.117687424,1.96332731,1.37714599,2.029889948,2.030436429,,2.504967554,1.646942336,1.490116092,0.628480232
2008,1.30525175,1.94948879,1.660687187,1.339889342,1.942796096,1.344351628,,2.138235037,1.472679522,0.537817436,0.327887811
2007,1.57,2.82,2.01,1.08,1.56,2.21,,1.84,1.28,1.34,0.47
2006,1.82,2.82,2.33,1.38,1.97,2.28,,1.8,1.69,1.53,0.64
2005,1.04,1.57,1.84,0.84,1.37,1.13,,1.27,1.17,0.7,0.35
2004,1.925925,2.80357,2.48648,1.55555,1.59302,2.97368,,1.716216,1.64788,1.79487,0.92105
2003,1.655799017,2.652409945,2.325395714,1.078870607,1.447813908,3.520836806,,1.570642024,1.456479142,0.912592539,0.89
2002,1.045024284,1.573266343,1.765990113,1.188387394,1.56324612,1.886712318,,1.211053956,1.075383516,0.424228936,0.38
2001,1.373437874,1.813217311,2.04609413,1.098659507,1.165412231,2.040846851,,1.047274697,1.039097109,1.602559087,0.6
2000,1.514656513,1.90969475,1.457269645,1.454570015,1.35242994,1.329445872,,1.02906371,1.175107248,1.742967831,1.162
1999,1.375932858,1.343772265,2.029837347,1.385394367,1.770666611,1.819088497,,1.390106952,1.164639617,1.4511975,0.6920833
1998,1.25033117,2.211870671,1.089760198,1.212119333,0.711578135,1.513567719,,1.232750383,1.047209374,1.236333195,0.449777136
1997,1.479400298,1.640629073,1.352367697,1.246723602,1.950076142,1.647633803,,2.127897512,1.517229537,1.586926246,0.922301639
1996,2.086380156,2.646530906,2.099605035,1.81170828,2.464621272,2.464252822,,2.462151681,1.828951813,2.020480136,1.290432448
1995,1.418464122,1.750580251,1.904417178,1.321131735,1.995288205,0.98742069,,2.438385001,1.805907672,0.802113001,0.811148333
1994,1.502525038,1.358430103,1.84007017,1.2232604,2.833889687,1.04271458,,2.553896467,1.772515145,1.480786187,0.89348135
1993,2.522818691,3.514231287,2.617441914,2.638010011,2.478698427,2.994937107,,2.38453875,1.652429828,2.27417021,1.016119578
1992,0.731117699,1.696146847,1.612811487,0.321097316,2.257700086,0.820272034,,1.968753385,1.386884137,0.190670664,0.332848833
1991,1.713989115,2.829105705,3.455308848,1.306392941,1.779168337,1.590556701,,2.066675519,2.20231738,1.306047542,0.99993865
1990,1.466960923,2.231692239,3.502689671,1.082538451,2.340065328,1.500058743,,2.287123081,1.389293854,1.234637755,0.943877728
1989,1.806022905,3.083247004,2.063231361,1.762620642,2.554083985,2.164698564,,0.791951404,1.927291264,1.874319572,1.191995323
1988,2.687392928,3.319848379,2.860262557,2.077186194,2.485970235,2.090906354,,2.963029093,1.882019402,3.583668469,1.916954573
1987,1.744705568,2.658701887,2.434932129,1.660061181,1.629126876,0.799330085,,2.012701941,1.606474264,1.501076837,0.705967101